title,genre,rating,status,episodes,release year,description
Triệu Hồi Sư Cuối Cùng,"['CN Animation', 'Huyền ảo', '[CNA] Hài hước']","['7.7', '171']",Đang tiến hành,12,2022,"PHIM ĐƯỢC CẬP NHẬT 1 TẬP MỖI THỨ 3 HÀNG TUẦN
 
Vạn vật hữu linh. Người có thể triệu hồi linh hồn của vạn vật được gọi là Triệu hồi sư. Từ cổ chí kim, truyền thuyết về triệu hồi sư được ẩn giấu trong từng giai đoạn lịch sử, triệu hồi bùn đất, triệu hồi xương khô, triệu hồi linh hồn, triệu hồi vì sao… Nhưng truyền thuyết suy cho cùng chỉ là truyền thuyết, có một ngày nó sẽ bị thời gian phong ấn, bị người đời lãng quên… Ở thời đại mới, Triệu hồi sư, thức tỉnh! Nữ thần Pandora là nguyên bản linh hồn của vạn vật. Trong năm tháng dài đằng đẵng, cô ta khơi dậy vô số cuộc chiến tranh. Cuối cùng Pandora được một nhóm Triệu hồi sư tài giỏi phong ấn thành công.
A Kiệt muốn trở thành người kéo mì bỗng vô tình triệu hồi ra nữ thần Pandora, từ đó bước vào thế giới Triệu hồi sư. Trên con đường ấy, cậu gặp được Hana triệu hồi thực vật, Miêu Ô triệu hồi dã thú. Cùng nhau trở thành đồng đội. Gia nhập liên minh “Người bảo vệ”, chống lại cái ác. Bọn họ đánh bại Triệu hồi sư linh hồn, Triệu hồi sư mơ ảo, Triệu hồi sư ảo ảnh… Trong lúc đó, A Kiệt đã khám phá ra được thân thế thực sự của bố mẹ mình.
            "
Vết Nứt Thời Không,"['CN Animation', 'Dị giới', 'Võ hiệp', '[CNA] Hài hước']","['6.9', '124']",Hoàn thành,13,2022, 
Đại Vương Tha Mạng,"['[CNA] Hài hước', 'CN Animation']","['9.4', '768']",Đang tiến hành,12,2021, 
Nhật Ký Thường Ngày Của Tiên Vương phần 2,"['CN Animation', 'Huyền ảo', '[CNA] Hài hước']","['9.2', '620']",Hoàn thành,12,2021,"Kỳ tài tu chân Vương Lệnh mang trong mình sức mạnh đảo lộn thế giới, lại chỉ muốn sống cuộc đời bình yên của người bình thường. Ma xui quỷ khiến được vào lớp Tinh Anh của học viện tu chân Lục Thập môn, phá hỏng kế hoạch của tổ chức sát thủ ""Ảnh Lưu"" tại Giải đấu Linh Kiếm, có được tình bạn, cậu quyết định dùng sức mạnh của mình để bảo vệ cuộc sống bình yên. Song mọi chuyện có được như cậu mong muốn không?"
Tây Du Ký: Tái Thế Yêu Vương,"['CN Animation', 'Dị giới', '[CNA] Hài hước']","['8.3', '45']",Đang tiến hành,1,2021,N/A
TIỂU LỤC VÀ TIỂU LAM,"['CN Animation', '[CNA] Hài hước']","['3.4', '702']",Đang tiến hành,15,2018,"Được chuyển thể từ bộ truyện người que của Ocarina. Bộ truyện kể về hai nhân vật Tiểu Lam và Tiểu Lục . Bởi vì nguyên tác Tiểu Lam và Tiểu Lục là người que nên không có giới tính xác định , nên bạn có thể tự hình dung giới tính cho hai nhân vật ấy. Trong phim thì NSX đã cho hai nhân vật làm nam , lâu lâu có nữ-nữ , có khi là nam-nữ. Mỗi tập phim kể về một câu chuyện khác nhau , lâu lâu hài , cũng xen pha chút buồn bã , ngọt ngào lãng mạng hoặc cay đắng chia ly , mang lại cho người xem tạp nham cảm xúc.
(*) Arc nổi tiếng nhất là Arc Ma Vương và Arc có bé Tiểu Lục Robo , đương nhiên hai Arc này được phát hành nhiều hơn 2 , 3 tập."
Võ Lâm 3 : Thẩm Kiếm Tâm,"['CN Animation', 'Kiếm hiệp', '[CNA] Hài hước']","['8.1', '691']",Hoàn thành,12,2018,"Phim dựa theo game võ lâm 3 | jx3, xoay quanh thẩm kiếm tâm"
Đột Biến Anh Hùng,"['CN Animation', '[CNA] Hài hước', 'Dị giới']","['4.9', '86']",Đang tiến hành,2,2018,Đột Biến Anh Hùng
Thiên Bảo Phục Yêu Lục,"['CN Animation', 'Đam mỹ']","['6.9', '123']",Hoàn thành,26,2020,"Năm Thiên Bảo thứ 12, thiếu niên Hồng Tuấn không rành thế sự, được giao cho ba trọng trách rời khỏi Diệu Kim cung núi Thái Hành, đến với chốn phồn hoa cẩm tú Trường An. Khổng Hồng Tuấn gia nhập Khu Ma Ti, người lãnh đạo lại là tướng lĩnh Long Vũ quân Lý Cảnh Lung, kẻ cách đó không lâu đã giao thủ với cậu. Trong lúc đánh nhau Lý Cảnh Lung đã đánh nát bảo vật Tâm đăng của Hồng Tuấn, Tâm đăng nhập vào người của Lý Cảnh Lung. Trong ánh đèn kia, có Bình Khang xa hoa trụy lạc, có cây ngô đồng Khu Ma Ti giữa trời hè chói chang, có phương bắc bão tuyết rét căm căm, có tiếng ca trong trẻo của A Thái, có Mạc Nhật Căn và Lục Hứa với tay ngắt một chiếc lá cây, có nét bút tung bay của Cừu Vĩnh Tư."
Đế Vương Công Lược,"['CN Animation', 'Đam mỹ']","['7.4', '125']",Hoàn thành,20,2018,"Xuất thân từ hoàng tộc, Sở Uyên mỗi việc làm đều như đi một nước cờ - có thể nhìn như không có gì, nhưng có ảnh hưởng đến cả đại cục."
Linh Khế 2,"['CN Animation', 'Đam mỹ']","['7.9', '154']",Hoàn thành,12,2018,Linh khế phần 2 | SS2
Cuồng Vương (OVA Tây Hành Kỷ),"['CN Animation', 'Huyền ảo', 'Võ hiệp']","['8.4', '61']",Đang tiến hành,9,2024,PHIM ĐƯỢC CẬP NHẬT 1 TẬP MỖI TRƯA THỨ 4 HÀNG TUẦN
Vụ Sơn Ngũ Hành,"['CN Animation', 'Tiên hiệp', 'Huyền ảo', 'Võ hiệp']","['9.2', '194']",Hoàn thành,7,2021,"Thời thượng cổ yêu thú hoành hành, một vị đạo nhân thần bí đã ban năng lực đặc biệt của Âm Dương Ngũ Hành cho năm gia tộc Kim - Mộc - Thủy - Hỏa - Thổ để chống lại yêu thú. Bọn họ đánh đuổi yêu thú đến Thần Ẩn vụ sơn, lập ra kết giới. Trong Vụ sơn có linh thú Kỳ Lân hùng mạnh, thường thu hút những yêu thú muốn gia tăng yêu lực đột phá kết giới, nên tự nguyện bị phong ấn trong Cự Khuyết Thần Thuẫn. Hỏa Hành sứ giả - Văn Nhân Dực Huyền vì cứu mẹ đã tự ý mở Cự Khuyết Thần Thuẫn, Kỳ Lân con thừa cơ trốn ra ngoài, làm dấy lên một màn mưa máu gió trong giới yêu thú..."
Vũ Canh Kỷ phần 4,"['CN Animation', 'Võ hiệp', 'Huyền ảo']","['7.2', '235']",Đang tiến hành,42,2021,PHIM ĐƯỢC CẬP NHẬT 1 TẬP MỖI TRƯA THỨ 3 HÀNG TUẦN
Vạn Giới Tiên Tung,"['Tiên hiệp', 'CN Animation', 'Huyền ảo', 'Võ hiệp']","['7.9', '1431']",Đang tiến hành,340,2018,PHIM ĐƯỢC CẬP NHẬT MỖI THỨ 2 VÀ THỨ 5 HÀNG TUẦN
Hitori no Shita: The Outcast 3nd Season,"['Anime', 'CN Animation', 'Huyền ảo', 'Võ hiệp']","['3.3', '37']",Hoàn thành,7,2021,"Nhân vật chính Trương Sở Lam có một cuộc sống bình thường như bao sinh viên đại học khác cho tới ngày cậu vướng phải một rắc rối nghiêm trọng tại một ngôi làng nhỏ. Khi đang tản bộ qua một nghĩa trang, cậu đã bị tấn công bởi những thây ma ghê tởm. Lúc cậu tưởng rằng đời mình đến đây là hết, một cô gái bất ngờ xuất hiện tiêu diệt toàn bộ lũ thây ma và biến mất một cách bí ẩn. Cuộc gặp gỡ kỳ lạ này như một cơn gió thay đổi cuộc sống Trương Sở Lam 180 độ"
Quân Hữu Vân,"['Tiên hiệp', 'Võ hiệp', 'CN Animation', 'Huyền ảo']","['9.3', '389']",Đang tiến hành,24,2022,PHIM ĐƯỢC CẬP NHẬT 1 TẬP MỖI THỨ 5 HÀNG TUẦN
Tử Xuyên,"['CN Animation', 'Huyền ảo', 'Võ hiệp']","['8.7', '475']",Hoàn thành,42,2021, 
Họa Giang Hồ chi Bất Lương Nhân Phần 5,"['CN Animation', 'Kiếm hiệp', 'Võ hiệp']","['8.6', '391']",Hoàn thành,12,2022,"Trở về từ Nhiêu Cương, Lý Tự Nguyên tự xưng giám quốc, mượn danh thiên tử truy giết Bất Lương Nhân ở khắp nơi, mà Lý Tinh Vân thân là thiên tử lại phải đối mặt với một lựa chọn mới..."
Phong Khởi Lạc Dương: Thiếu Niên Thần Cơ,"['CN Animation', 'Kiếm hiệp', 'Võ hiệp', 'Huyền ảo']","['7.5', '107']",Đang tiến hành,16,2021,PHIM ĐƯỢC CẬP NHẬT 1 TẬP MỖI THỨ 6 HÀNG TUẦN
Thục Sơn Kỳ Tiên Lục,"['CN Animation', 'Huyền ảo', 'Võ hiệp', 'Kiếm hiệp']","['5.5', '102']",Đang tiến hành,12,2021,PHIM ĐƯỢC CẬP NHẬT 1 TẬP MỖI THỨ 4 HÀNG TUẦN
Tử Xuyên - OVA,"['CN Animation', 'Tiên hiệp', 'Kiếm hiệp', 'Huyền ảo', 'Võ hiệp']","['8.0', '74']",Đang tiến hành,3,2021,"Hai trăm năm sau ngày đế quốc Quang Minh tan rã, thế cân bằng tạm thời của đại lục lại một lần nữa bị phá vỡ. Gia tộc họ Lâm, dòng dõi chính thống của đế quốc Quang Minh xưa, nay đã trở thành trung tâm thương mại, lực lượng quân sự thu gọn, tuy tinh mà không nhuệ, lại được lãnh đạo bởi những kẻ ôm giấc mộng đầu cơ, chỉ rình nước đục mà thả câu kiếm lợi. Gia tộc Lưu Phong mất đi người lãnh đạo hùng tài, để lại ba đứa con trai bất tài ngu xuẩn và cô con gái xinh đẹp toàn tài nhưng bị trói buộc bởi lời hứa với người cha đã mất. Trên nền gia tộc hủ bại bởi những kẻ nhăm nhăm cho lợi ích cá nhân, ba anh em kết nghĩa, ba vị tướng xuất sắc, ba tính cách bất đồng, người trước người sau cùng tỏa sáng rực rỡ. Một Đế Lâm sắc bén, với chủ trương lấy kỷ luật sắt để quản lý, lấy máu để cai trị, lấy kết quả cuối cùng để làm thước đo thành bại; cùng với một Sterling tính cách dung hòa, một lòng trung thành với gia tộc, một quân nhân điển hình; và một Tử Xuyên Tú tài hoa, tình cảm và ham nhàn thành tính đều đã phát triển đến tận cùng con đường mà họ chọn lựa. Ba tính cách ấy, ba vị tướng tài bất khả chiến bại ấy, khi bị sự mục ruỗng của chế độ và sự xô đẩy của thời thế, cùng đi tới tận cùng của lý tưởng mình đã chọn sẽ có kết cục gì?"
Đấu Phá Thương Khung: Ước Hẹn Ba Năm,"['CN Animation', 'Huyền ảo', 'Võ hiệp']","['9.7', '2385']",Hoàn thành,13,2021,"Ba năm trước, Thiếu tông chủ Vân Lam Tông Nạp Lan Yên Nhiên tự ý hủy hôn. Tiêu Viêm - người chịu sự sỉ nhục đó đã lập Ước Hẹn Ba Năm với Nạp Lan Yên Nhiên. Vì ước hẹn này, Tiêu Viêm tu luyện không ngừng nghỉ. Rèn luyện từ sơn mạch Ma Thú đến sa mạc Tháp Qua Nhĩ, từ luyện đan đến chịu sự đau đớn khi nuốt dị hỏa, đều là vì để chứng minh câu nói đó: Ba Mươi Năm Hà Đông, Ba Mươi Năm Hà Tây, Mạc Khi Thiếu Niên Cùng ( Sông có khúc, người có lúc; Đừng khinh thiếu niên quá đáng) Giờ đây, đàn ông Tiêu gia lấy khó khăn để vươn lên, mãi không lùi bước. Sự trưởng thành của Tiêu Viêm vẫn đang tiếp tục...."
Gối Đao Lên Hát,"['CN Animation', 'Kiếm hiệp', 'Võ hiệp']","['7.9', '61']",Hoàn thành,12,2021,"Hà Phương Tri, chàng trai trẻ vốn dĩ là con của 1 vị quan, phải được ăn sung mặc sướng, sống an nhàn, nhưng lớn lên phải mang trong mình nỗi đau mất cha diệt nhà, nung nấu ý chí trả thù sau 13 năm tận mắt chứng kiến cha chết. Lên đường đi tìm kẻ chủ mưu thật sự, tự mình đối đầu với cả 1 thế lực lớn đằng sau."
Tần Thời Minh Nguyệt phần 6: Thương Hải Hoành Lưu,"['CN Animation', 'Kiếm hiệp', 'Võ hiệp']","['8.8', '81']",Đang tiến hành,25,2020,PHIM TẠM NGỪNG CHIẾU TỪ TẬP 25
Quan Hải Sách,"['CN Animation', 'Võ hiệp', 'Dị giới']","['4.2', '604']",Đang tiến hành,3,2018,"Khi Bàn Cổ khai thiên đã để lại một khe hở - một dòng nước xoáy ở sâu dưới đáy đại dương, đó là lối đi tới dị giới. Khi xưa sau khi Đại Vũ hoàn thành việc trị thủy, đem gần nửa số đất quẳng vào dòng xoáy. Đất rơi xuống dị giới tạo thành đại lục, tên là Hồng Phương. Đại Vũ bắt được Ma tộc, giam cầm ở Hồng Phương đại lục, phái Ứng Long trông giữ. Họ ở dị giới sinh sôi nảy nở, dần dần tạo thành nhiều quốc gia, nền văn minh khác nhau. Trải qua trăm ngàn năm chinh chiến, Hồng Phương đại lục chia thành năm nước lớn: Hiên Viên (con cháu Ứng Long lập nên), Khúc Đồ, Quân Sơn, Chúc Dư, Thương Hợp. Thuật sĩ lưu lạc Lăng Dao hay làm việc nghĩa, được Nông gia thiếu chủ Cơ Khuông giúp đỡ. Sau đó, Cơ Khuông nghe Lăng Dao nói mới biết được một âm mưu vô cùng đáng sợ: Sóng ngầm Yêu tộc bắt đầu nổi dậy, muốn đánh chiếm nước chư hầu Ký quốc của Hiên Viên. Đối mặt với đại quân Yêu tộc pháp lực cao cường, họ không thể không hiệp trợ quan quân, tiến hành một trận chiến mà thực lực chênh lệch quá xa…"
Ayakashi Triangle,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Siêu nhiên', 'Ecchi']","['8.0', '149']",Hoàn thành,13,2023,"Matsuri Kazamaki và Suzu Kanade là bạn thời thơ ấu, gắn bó với nhau nhờ khả năng nhìn thấy ayakashi—yêu quái đang tìm kiếm sinh lực để ăn tươi nuốt sống. Tuy nhiên, ở trường trung học, mối quan hệ của họ xấu đi. Khi tình cảm đơn phương của Suzu ngày càng lớn, thì sự khác biệt trong quan điểm về ayakashi của họ cũng tăng theo: Matsuri coi tất cả các ayakashi là mối đe dọa đối với bạn mình, trong khi Suzu là một phương tiện ayakashi—một người toát ra một lượng sinh lực đáng kể so với người bình thường— và yêu tất cả chúng bất chấp rủi ro. Khi cả hai tình cờ bắt gặp một con mèo trắng biết nói tên là Shirogane, họ không biết rằng đó là một ayakashi bốn trăm tuổi được mệnh danh là Vua của Ayakashi. Anh ta rất muốn đạt được nhiều sức mạnh hơn nữa bằng cách nuốt chửng Suzu, nhưng khi Matsuri xông vào để cố gắng cứu cô ấy bằng cách phong ấn sức mạnh của Shirogane, thay vào đó, ayakashi sử dụng một nhẫn thuật để biến anh ta thành một cô gái! Matsuri thề sẽ bảo vệ Suzu khỏi bị tổn hại thêm với tư cách là bạn thân nhất của cô ấy, nhưng anh ấy phải học cách cư xử như một cô gái cho đến khi ông của anh ấy — một ninja trừ tà thuật phong thuật nổi tiếng — có thể hóa giải nhẫn thuật. Trong khi đó, Suzu phải tìm ra tình cảm lãng mạn của mình dành cho Matsuri khi anh ấy không còn là con trai nữa. Nhưng khi Matsuri nhận nhà vua làm thú cưng của mình, tương lai của hai người bạn dường như không chắc chắn. [Viết bởi MAL Rewrite]"
Inu ni Nattara Suki na Hito ni Hirowareta,"['Anime', 'Hài hước', 'Tình cảm', 'Ecchi']","['6.2', '178']",Hoàn thành,14,2023,"Họ nói rằng mỗi con chó có ngày của mình. Điều đó đặc biệt đúng với nhân vật chính của chúng ta, người vừa bị biến thành một chú chó và hiện đang sống hàng ngày dưới sự chăm sóc của người mình yêu, Inukai-san! Cô ấy vui vẻ yêu người bạn đồng hành mới của mình, và trong khi anh ấy muốn trở lại hình dạng con người vào một ngày nào đó, thì có điều gì đó tuyệt vời khi được người anh ấy yêu chăm sóc. (Nguồn: HIDIVE)"
Isekai Meikyuu de Harem wo,"['Hành động', 'Tình cảm', 'Harem', 'Giả tưởng', 'Phiêu lưu', 'Ecchi']","['7.7', '407']",Đang tiến hành,12,2022,"Câu chuyện xoay quanh cậu học sinh trung học Michio Kaga. Lang thang không mục đích trong cuộc sống cũng như trên internet, cậu vô tình được đưa từ một trang web mờ ám đến một thế giới tưởng tượng - tái sinh thành một người đàn ông mạnh mẽ có thể sử dụng sức mạnh ""ăn gian"". Michio sử dụng sức mạnh của mình để trở thành một nhà thám hiểm, kiếm tiền và có quyền yêu cầu những cô gái trẻ đẹp gia nhập vào dàn hậu cung của riêng mình."
Trinity Seven Movie 2: Tenkuu Toshokan to Shinku no Maou,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Giả tưởng', 'Học đường', 'Shounen', 'Ecchi']","['8.7', '109']",Hoàn thành,1,2019,N/A
Monster Musume no Oishasan,"['Anime', 'Hài hước', 'Tình cảm', 'Giả tưởng', 'Ecchi']","['8.8', '147']",Hoàn thành,12,2020,N/A
Mushoku Tensei: Isekai Ittara Honki Dasu 2nd Season,"['Anime', 'Giả tưởng', 'Ecchi']","['9.3', '1015']",Hoàn thành,13,2021,Phần 2 của tựa phim Mushoku Tensei
Getsuyoubi no Tawawa 2,"['Anime', 'Hài hước', 'Đời thường', 'Ecchi']","['8.9', '115']",Đang tiến hành,12,2021,N/A
Ganbare Douki-chan,"['Anime', 'Tình cảm', 'Đời thường', 'Ecchi']","['8.6', '133']",Hoàn thành,12,2021,N/A
Mayoi Neko Overrun! Specials,"['Anime', 'Hài hước', 'Ecchi']","['7.8', '24']",Hoàn thành,6,2010,N/A
Mayo Chiki!,"['Anime', 'Tình cảm', 'Hài hước', 'Học đường', 'Ecchi']","['9.3', '728']",Hoàn thành,13,2011,"Konoe Subaru, 17 tuổi, là quản gia của một cô tiểu thư giàu có học cùng lớp, Suzutsuki Kanade. Do hoàn cảnh, Subaru phải giả làm con trai để theo Suzutsuki trong suốt 3 năm trung học mà không để bị lộ. Nhưng rồi một ngày nọ, Subaru đã bị Kinjorou phát hiện ra thân phận thật sự. Liệu câu chuyện sẽ đi về đâu?"
Boku Wa Tomodachi Ga Sukunai,"['Anime', 'Tình cảm', 'Hài hước', 'Học đường', 'Harem', 'Ecchi', 'Seinen']","['9.1', '536']",Hoàn thành,12,2011,"Hasegawa Kodaka, một chàng Tây lai mới chuyển trường, tính tình hiền lành lương thiện, nhưng do sở hữu bộ mặt rất chi là… đầu gấu nên chàng ta đành phải ngậm ngùi bước trên con đường trở thành bậc cao thủ “độc cô cầu bạn”.
Mikazuki Yozora, một cô nàng bản tính ích kỉ, tâm địa xấu xa, chỉ được cái… xinh đẹp . Vì bản mặt cau có khó gần nên nàng ta cũng không bạn bè gì, cả ngày tự kỉ ám thị với cô bạn… tưởng tượng.
Hai con người gặp nhau, đồng bệnh tương lân, cùng chung chí lớn, sau một hồi bày mưu tính kế, họ đã thành lập một CLB với mục tiêu “kết bạn”. Nhưng liệu cái CLB toàn những “kì nhân dị sĩ” này có đạt được mục đích mờ ám của mình không…"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen OVA,"['Anime', 'Tình cảm', 'Học đường', 'Đời thường', 'Ecchi', 'Seinen']","['9.6', '267']",Hoàn thành,1,2021,OVA của Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,"['Anime', 'Tình cảm', 'Hài hước', 'Giả tưởng', 'Ecchi']","['8.9', '743']",Hoàn thành,10,2021,Phần tiếp theo của tựa phim Isekai Maou to Shoukan Shoujo no Dorei Majutsu
Ore dake Haireru Kakushi Dungeon,"['Anime', 'Hành động', 'Giả tưởng', 'Phiêu lưu', 'Harem', 'Ecchi']","['8.1', '899']",Hoàn thành,12,2021,"Nor là con trai của một quý tộc nhỏ với rất ít tên tuổi ngoài việc đã có cơ hội có việc làm nhưng vào hôm trước ngày đầu tiên đi làm, cậu đã bị hủy việc. Cậu sở hữu một đặc điểm hiếm có: khả năng phép thuật để tham khảo ý kiến từ các nhà hiền triết vĩ đại. Khi sử dụng khả năng này thì cậu phải chịu chứng đau đầu khủng khiếp! Không chắc chắn những gì mà tương lai mình nắm giữ, cậu đã liên hệ với các nhà hiền triết để được tư vấn về cách di chuyển trong tương lai và hướng đến một hầm ngục bí ẩn, nơi đó chứa đầy thú hiếm và vật phẩm ma thuật. Chính tại đây, Nor sẽ được đào tạo, tổng hợp kinh nghiệm và sự “Dubai” cho đến khi đủ mạnh để thay đổi số phận."
Mushoku Tensei: Jobless Reincarnation,"['Anime', 'Hành động', 'Tình cảm', 'Hài hước', 'Viễn tưởng', 'Harem', 'Ecchi']","['9.2', '896']",Hoàn thành,11,2021,"Mình sẽ sống nghiêm túc tại thế giới này!
Một ông chú fap sư 34 tuổi, thất nghiệp, làm NEET là chính.
Ngay sau khi chú ta bị đá ra khỏi nhà vào cái ngày đưa tang song thân phụ mẫu, truck-kun chào đón chú ta và tiễn về thế giới khác.
Khi giật mình tỉnh giấc chú ta nhận ra bản thân đã đầu thai thành đứa bé sống trong thế giới của Kiếm và Ma pháp.
Gã đàn ông từng sống như thứ rác rưởi thề nguyện rằng
Trong thế giới mới này, trong nhân dạng Rudeus này, tôi sẽ sống thật nghiêm túc!
Rudeus gặp gỡ Ma thuật sư bé con Roxy, cô/cậu bé đẹp gái/trai có đôi tai như người Elf, và tiểu thư tsundere bà chằn.
Va chạm với nhiều loại hạng người. Và đấu tranh trong những chuyến mạo hiểm đầy khốc liệt.
Cuộc sống mới bắt đầu vận hành!
Chuyện huyễn tưởng làm lại cuộc đời, BẮT ĐẦU!"
"Dakara Boku Wa, H Ga Dekinai","['Anime', 'Tình cảm', 'Hài hước', 'Siêu nhiên', 'Ecchi']","['8.9', '500']",Hoàn thành,13,2012,Bạn sẽ chấp nhận việc những cô gái bên cạnh có thể sẽ khó chịu khi bạn sống cùng 1 nữ thần chết xinh đẹp chứ ? Ryousuke không còn lựa chọn nào bởi vì anh ấy đã kí một khế ước với Risara… Người đang giữ một mắt xí́ch trong chuyện này?
Saenai Heroine no Sodatekata Fine,"['Anime', 'Tình cảm', 'Hài hước', 'Học đường', 'Harem', 'Ecchi']","['9.8', '540']",Hoàn thành,1,2020,"Sau khi Eriri và Utaha rời Blessing Software, Tomoya và Megumi cùng với Izumi, Michiru và Hashima tạo ra game tiếp theo với tựa đề: “Cách để xây dựng bạn gái nhạt nhẽo”. Thế nhưng, khi viết đến route của nữ chính Meguri, Tomoya lại mất cảm hứng. Châm dầu vào lửa, Eriri và Utaha thách đấu nhóm Tomoya với tựa game big hit Fields Chronicle của mình. Liệu Tomoya có duy trì được mối quan hệ với Megumi và Blessing Software, cũng như Eriri và Utaha?"
Tensei shitara Slime Datta Ken 2nd Season Part 2,"['Anime', 'Hành động', 'Hài hước', 'Giả tưởng', 'Phiêu lưu', 'Demon']","['9.6', '1496']",Hoàn thành,14,2021,Nửa sau của phần 2 tựa phim Tensei shitara Slime Datta Ken.
Obey Me!,"['Anime', 'Giả tưởng', 'Demon']","['6.1', '39']",Đang tiến hành,6,2021,Bộ phim sẽ mô tả cuộc sống hàng ngày sống động của anh em nhà quỷ thông qua các tập đặc biệt tách biệt với câu chuyện chính của trò chơi
Heion Sedai no Idaten-tachi,"['Anime', 'Hành động', 'Giả tưởng', 'Phiêu lưu', 'Seinen', 'Demon']","['7.9', '80']",Hoàn thành,11,2021,"Các vị thần đã xuất hiện khi nhân loại đang trên bờ vực diệt vong bởi những gì mà lũ quỷ đã làm với Trái Đất. Các vị thần đó được gọi là “Idaten” đã chiến đấu và phong ấn lũ quỷ dữ đó cách đây 800 năm. Ngày nay, “Idaten” không có kinh nghiệm chiến đấu và họ đang sống với một cuộc sống bình yên. Nhưng bây giờ, lũ quỷ đó đang hồi sinh và trận chiến giữa thần, người và quỷ sắp bắt đầu."
Mairimashita! Iruma-kun 2nd Season,"['Anime', 'Hài hước', 'Giả tưởng', 'Học đường', 'Siêu nhiên', 'Shounen', 'Demon']","['9.1', '675']",Hoàn thành,21,2021,Mùa thứ 2 của anime Mairimashita! Iruma-kun
Kimetsu no Yaiba : Mugen Ressha-hen,"['Anime', 'Hành động', 'Lịch sử', 'Siêu nhiên', 'Shounen', 'Drama', 'Demon']","['9.7', '871']",Hoàn thành,1,2020,"Trong movie lần này, Viêm Trụ sẽ là nhân vật trung tâm của toàn bộ câu chuyện. Bên cạnh đó, bộ tứ anh em nhà Tanjirou – Nezuko, Zenitsu và Inosuke cũng có màn trình diễn gây ấn tượng không kém. Lần này, phe thợ săn quỷ sẽ trực tiếp đối đầu với Hạ Huyền Nhất sau khi Muzan đã tiêu diệt toàn bộ quỷ Hạ Huyền. Tuy nhiên, ẩn số còn nằm phía sau movie Chuyến tàu vô tận bởi những yếu tố bất ngờ của câu chuyện chỉ mới bắt đầu."
Kemono Jihen,"['Anime', 'Hành động', 'Siêu nhiên', 'Shounen', 'Bí ẩn', 'Demon']","['9.5', '376']",Hoàn thành,12,2021,"Trong một đêm, hàng loạt xác động vật thối rữa đột nhiên xuất hiện tại một ngôi làng hẻo lánh nọ. Người trong làng đã gọi Inugami, một thám tử chuyên về các hiện tượng thần bí đến để điều tra. Trong lúc đang điều tra tại đây, Inugami gặp một cậu bé không đến trường mà lao động quần quật cả ngày dưới ruộng. Cậu bé được người ta đặt cho cái tên là Dorotabo, tức người bùn, vì người cậu luôn bốc mùi nên không ai dám lại gần. Nhận ra có gì đó mờ ám, Inugami đã kết thân với Dorotabo và phát hiện ra sự thật động trời đằng sau những cái chết của động vật trong rừng."
GEGEGE NO KITAROU,"['Demon', 'Shounen', 'Hài hước', 'Tình cảm', 'Anime']","['7.2', '65']",Hoàn thành,97,2018, 
Mairimashita! Iruma-kun,"['Anime', 'Hành động', 'Tình cảm', 'Hài hước', 'Học đường', 'Siêu nhiên', 'Shounen', 'Demon']","['9.5', '1153']",Hoàn thành,23,2019,Suzuki Iruma đã bị cha mẹ bán cho quỷ để đổi lấy tiền. Đáng ngạc nhiên anh ta đang sống với yêu quái và đã được chuyển đến một trường học trong Thế giới quỷ ...
Kyokou Suiri,"['Anime', 'Tình cảm', 'Hài hước', 'Siêu nhiên', 'Shounen', 'Bí ẩn', 'Demon']","['9.3', '788']",Hoàn thành,12,2020,"Ở tuối 11, Iwanaga Kotoko đã bị lũ yêu quái bắt cóc đi hòng cầu xin cô trở thành Nữ Thần Thông Tuệ làm người hòa giải giữa nhân giới và thế giới yêu ma, đánh đổi lại bằng chân trái và mắt phải của cô. Nhiều năm sau, cô gặp được chàng sinh viên đại học Kuro đã mang lại tiếng sét ái tính cho cô. Qua những lời mách nước của yêu quái và một sự kiện nọ, cô sớm nhận ra có điều lạ kỳ ở chàng trai này. Từ đó, Kotoko quyết định biến anh trở thành người cộng sự, và cũng là người yêu của cô, cùng giải quyết các sự biến liên quan đến yêu ma."
Fairy Gone 2nd Season,"['Anime', 'Hành động', 'Giả tưởng', 'Siêu nhiên', 'Demon']","['8.0', '70']",Hoàn thành,12,2019,Mùa thứ 2 của anime Fairy Gone
Kimetsu no Yaiba,"['Anime', 'Hành động', 'Lịch sử', 'Siêu nhiên', 'Shounen', 'Demon']","['9.8', '4747']",Hoàn thành,26,2019,"Từ thời xưa luôn có những truyền thuyết về loài quỷ ăn thịt người rình mò trong các khu rừng khi màn đêm buông xuống. Chính điều này khiến người dân không ai dám vào rừng vào ban đêm. Tuy nhiên, Tanjiro, một cậu trai làm nghề bán củi than sống cùng gia đình trên núi lại không tin vào điều này, cậu quá bận rộn làm nuôi các anh em của mình. Nhưng rồi Tanjiro đã sớm phải tin vào những câu chuyện hảo huyền đó khi hiện thực cay nghiệt đến với cậu..."
